case_id,domain,solver,difficulty_tier,leakage_risk,score_template,score
diff_amp,circuits,ltspice,M,2,measurement,1.0000
half_wave_rectifier,circuits,ltspice,S,2,measurement,1.0000
inv_amp,circuits,ltspice,M,3,measurement,1.0000
lc_lowpass_2nd,circuits,ltspice,M,2,measurement,1.0000
lc_resonator,circuits,ltspice,M,2,measurement,1.0000
noninv_amp,circuits,ltspice,M,3,measurement,1.0000
opamp_buffer,circuits,ltspice,S,3,measurement,1.0000
opamp_integrator,circuits,ltspice,M,2,measurement,0.2011
opamp_summer,circuits,ltspice,M,2,measurement,1.0000
rc_highpass_ac,circuits,ltspice,S,3,measurement,1.0000
rc_lowpass_ac,circuits,ltspice,M,1,measurement,0.7750
rc_pulse_response,circuits,ltspice,S,3,measurement,1.0000
rl_lowpass_ac,circuits,ltspice,S,3,measurement,1.0000
rl_step,circuits,ltspice,S,3,measurement,1.0000
rlc_bandpass,circuits,ltspice,S,2,measurement,1.0000
rlc_notch,circuits,ltspice,M,1,measurement,0.7000
rlc_step_overdamped,circuits,ltspice,M,2,measurement,1.0000
rlc_step_underdamped,circuits,ltspice,M,2,measurement,1.0000
sallen_key_lp,circuits,ltspice,M,2,measurement,1.0000
