case_id,domain,solver,difficulty_tier,leakage_risk,score_template,score,setup_score,outputs_score,kpi_count,source_verified,trial
bridge_rectifier_ripple,circuits,ltspice,M,1,measurement,1.0,1.0,1.0,4,4/4,bridge_rectifier_ripple__VqLP3Zv
diff_amp,circuits,ltspice,M,2,measurement,1.0,1.0,1.0,3,3/3,diff_amp__VTNVXkK
half_wave_rectifier,circuits,ltspice,S,2,measurement,1.0,1.0,1.0,3,3/3,half_wave_rectifier__SKUL2VV
inv_amp,circuits,ltspice,M,3,measurement,1.0,1.0,1.0,3,3/3,inv_amp__jJrrnSJ
lc_lowpass_2nd,circuits,ltspice,M,2,measurement,1.0,1.0,1.0,3,3/3,lc_lowpass_2nd__jqhQUNP
lc_resonator,circuits,ltspice,M,2,measurement,1.0,1.0,1.0,3,3/3,lc_resonator__pYoNxox
noninv_amp,circuits,ltspice,M,3,measurement,1.0,1.0,1.0,3,3/3,noninv_amp__WY9Q3FW
opamp_buffer,circuits,ltspice,S,3,measurement,1.0,1.0,1.0,3,3/3,opamp_buffer__zNLjmQk
opamp_integrator,circuits,ltspice,M,2,measurement,1.0,1.0,1.0,3,3/3,opamp_integrator__Kozrx8i
opamp_summer,circuits,ltspice,M,2,measurement,1.0,1.0,1.0,3,3/3,opamp_summer__RFS3XZv
rc_highpass_ac,circuits,ltspice,S,3,measurement,1.0,1.0,1.0,3,3/3,rc_highpass_ac__TQNzmtU
rc_lowpass_ac,circuits,ltspice,M,1,measurement,1.0,1.0,1.0,5,5/5,rc_lowpass_ac__RPHagEz
rc_pulse_response,circuits,ltspice,S,3,measurement,1.0,1.0,1.0,3,3/3,rc_pulse_response__GMuF8Fg
rl_lowpass_ac,circuits,ltspice,S,3,measurement,1.0,1.0,1.0,3,3/3,rl_lowpass_ac__DdSpPA7
rl_step,circuits,ltspice,S,3,measurement,1.0,1.0,1.0,3,3/3,rl_step__bGsLSva
rlc_bandpass,circuits,ltspice,S,2,measurement,1.0,1.0,1.0,3,3/3,rlc_bandpass__rFAfS3s
rlc_notch,circuits,ltspice,M,1,measurement,1.0,1.0,1.0,4,4/4,rlc_notch__ZRtwyKT
rlc_step_overdamped,circuits,ltspice,M,2,measurement,1.0,1.0,1.0,3,3/3,rlc_step_overdamped__vdNazkH
rlc_step_underdamped,circuits,ltspice,M,2,measurement,1.0,1.0,1.0,3,3/3,rlc_step_underdamped__sBesBEy
sallen_key_lp,circuits,ltspice,M,2,measurement,1.0,1.0,1.0,3,3/3,sallen_key_lp__QY5bTLW
